Unnamed: 0,id,scrape_id,last_scraped,source,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
7200,53025294.0,20200000000000.0,15/12/24,city scrape,429254951,2021-10-27,within an hour,100%,100%,t,6,t,t,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.147095,-8.609336,Entire loft,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Refrigerator"", ""Room-darkening shades"", ""Pack \u2019n play/Travel crib"", ""Shampoo"", ""TV with standard cable"", ""Dedicated workspace"", ""Microwave"", ""Hair dryer"", ""Dishes and silverware"", ""Fire extinguisher"", ""First aid kit"", ""Hot water"", ""High chair"", ""Host greets you"", ""Hangers"", ""Wifi"", ""Coffee maker"", ""Iron"", ""Crib"", ""Kitchen"", ""Cooking basics"", ""Long term stays allowed"", ""City skyline view"", ""Essentials"", ""Air conditioning"", ""Private patio or balcony"", ""Bed linens""]",$58.00,2,365,25,55,85,360,24,3,0,01/11/21,21/10/24,4.75,4.79,4.92,4.92,4.88,4.88,4.75,40823/AL,t,6,6,0,0,0.63
7400,53897301.0,20200000000000.0,15/12/24,city scrape,17125483,2014-06-22,within an hour,100%,100%,t,43,t,t,Santa Marinha e São Pedro da Afurada,41.14167,-8.62606,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Coffee maker: Nespresso"", ""Refrigerator"", ""Free dryer \u2013 In unit"", ""Room-darkening shades"", ""Toaster"", ""Stainless steel oven"", ""Dedicated workspace"", ""Cleaning products"", ""Microwave"", ""Dishwasher"", ""Body soap"", ""Elevator"", ""Hair dryer"", ""Indoor fireplace: ethanol"", ""Fire extinguisher"", ""First aid kit"", ""Dishes and silverware"", ""Hot water"", ""Hangers"", ""Private entrance"", ""Keypad"", ""Wifi"", ""Clothing storage: closet"", ""Iron"", ""Cooking basics"", ""Kitchen"", ""Hot water kettle"", ""Self check-in"", ""Wine glasses"", ""Long term stays allowed"", ""Bathtub"", ""Heating"", ""Smoke alarm"", ""Essentials"", ""Free parking garage on premises \u2013 1 space"", ""Private hot tub"", ""50 inch HDTV with standard cable"", ""Freezer"", ""Dining table"", ""Waterfront"", ""Bidet"", ""Stainless steel induction stove"", ""Shower gel"", ""River view"", ""Free washer \u2013 In unit"", ""Bed linens""]",$120.00,1,1125,22,52,79,351,167,47,0,26/12/21,21/10/24,4.89,4.98,4.86,4.75,4.89,4.84,4.79,121700/AL,t,5,5,0,0,4.61
7600,5.56491e+17,20200000000000.0,15/12/24,city scrape,443862839,2022-06-02,within an hour,100%,100%,t,3,t,t,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14706,-8.6184,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Paid parking off premises"", ""Refrigerator"", ""Toaster"", ""Pack \u2019n play/Travel crib"", ""Electric stove"", ""Dedicated workspace"", ""HDTV with standard cable"", ""Coffee maker: espresso machine, Nespresso"", ""Microwave"", ""Hair dryer"", ""Dishes and silverware"", ""Fire extinguisher"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Private entrance"", ""Wifi"", ""Clothing storage: closet"", ""Iron"", ""Cooking basics"", ""Kitchen"", ""Oven"", ""Hot water kettle"", ""Self check-in"", ""Wine glasses"", ""Long term stays allowed"", ""Heating"", ""Essentials"", ""Park view"", ""Central air conditioning"", ""Lockbox"", ""Dining table"", ""Private patio or balcony"", ""Crib - available upon request"", ""Shower gel"", ""Aroma de Portugal shampoo"", ""Bed linens""]",$46.00,2,365,19,49,79,169,141,38,1,21/02/22,18/11/24,4.78,4.79,4.91,4.91,4.96,4.7,4.74,101528/AL,f,3,3,0,0,4.11
7800,5.84698e+17,20200000000000.0,15/12/24,city scrape,450019047,2022-03-17,,,100%,f,1,t,t,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14582,-8.61324,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Refrigerator"", ""Room-darkening shades"", ""Toaster"", ""Radiant heating"", ""Hair dryer"", ""Dishes and silverware"", ""Fire extinguisher"", ""First aid kit"", ""Stove"", ""Hot water"", ""Clothing storage: walk-in closet"", ""Host greets you"", ""Hangers"", ""Wifi"", ""Coffee maker"", ""Cooking basics"", ""Iron"", ""Kitchen"", ""Hot water kettle"", ""Drying rack for clothing"", ""Wine glasses"", ""Essentials"", ""Freezer"", ""Portable fans"", ""Dining table"", ""Private patio or balcony"", ""Shower gel"", ""Free washer \u2013 In unit"", ""Bed linens""]",$58.00,3,60,5,28,58,306,69,0,0,08/04/22,12/10/23,4.68,4.67,4.83,4.93,4.96,4.86,4.74,132215/AL,f,1,1,0,0,2.11
8000,6.08015e+17,20200000000000.0,15/12/24,city scrape,139065730,2017-07-07,within an hour,100%,100%,f,6,t,f,Bonfim,41.15181,-8.59387,Entire loft,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Refrigerator"", ""Toaster"", ""Patio or balcony"", ""Microwave"", ""Dishwasher"", ""Hair dryer"", ""Dishes and silverware"", ""Fire extinguisher"", ""First aid kit"", ""Hot water"", ""Host greets you"", ""Hangers"", ""Wifi"", ""Cooking basics"", ""Hot water kettle"", ""Kitchen"", ""Laundromat nearby"", ""Wine glasses"", ""Long term stays allowed"", ""TEKA oven"", ""TV"", ""Air conditioning"", ""Freezer"", ""Dining table"", ""Teka stainless steel electric stove"", ""Outdoor dining area""]",$43.00,32,340,2,32,62,277,6,3,0,11/09/22,30/09/24,5.0,5.0,5.0,5.0,5.0,4.83,4.83,Exempt,t,3,3,0,0,0.22
8200,6.29602e+17,20200000000000.0,15/12/24,city scrape,459572981,2022-05-17,within an hour,67%,90%,f,10,t,t,Vila Nova do Campo,41.35844,-8.35394,Entire home,Entire home/apt,6,1.0,1 bath,3.0,3.0,"[""Refrigerator"", ""Room-darkening shades"", ""Ceiling fan"", ""Toaster"", ""Patio or balcony"", ""Induction stove"", ""Washer"", ""Vineyard view"", ""Garden view"", ""Microwave"", ""Dishwasher"", ""Hair dryer"", ""Dishes and silverware"", ""Fire extinguisher"", ""First aid kit"", ""Hot water"", ""BBQ grill"", ""Hangers"", ""Pool view"", ""Lake view"", ""Wifi"", ""Iron"", ""Crib"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Kitchen"", ""Cooking basics"", ""Oven"", ""Hot water kettle"", ""Heating"", ""Coffee maker: espresso machine"", ""Essentials"", ""Free parking on premises"", ""Baking sheet"", ""Shared backyard \u2013 Fully fenced"", ""TV"", ""Shared pool"", ""Air conditioning"", ""Freezer"", ""Dining table"", ""Courtyard view"", ""Lake access"", ""Bed linens""]",$242.00,2,365,30,60,90,347,2,0,0,30/07/22,11/08/22,5.0,5.0,5.0,5.0,4.5,5.0,5.0,119757/AL,t,10,10,0,0,0.07
8400,6.50728e+17,20200000000000.0,15/12/24,city scrape,37066714,2015-06-29,within an hour,98%,100%,f,98,t,t,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14577,-8.60686,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Refrigerator"", ""Patio or balcony"", ""Washer"", ""Microwave"", ""Hair dryer"", ""Dishes and silverware"", ""Stove"", ""Hot water"", ""Wifi"", ""Cooking basics"", ""Hot water kettle"", ""Oven"", ""Kitchen"", ""Iron"", ""Crib"", ""Essentials"", ""TV"", ""Air conditioning"", ""Freezer"", ""Bed linens""]",$36.00,1,1125,19,42,72,347,36,15,2,09/08/22,03/12/24,4.42,4.67,4.61,4.5,4.58,4.67,4.53,126533/AL,t,48,46,2,0,1.26
8600,6.68791e+17,20200000000000.0,15/12/24,city scrape,437174766,2021-12-23,within an hour,100%,96%,f,5,t,t,Bonfim,41.14298,-8.59659,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Toaster"", ""Patio or balcony"", ""Shampoo"", ""Washer"", ""Dedicated workspace"", ""Free street parking"", ""Paid crib - available upon request"", ""Microwave"", ""Dishwasher"", ""Body soap"", ""Hair dryer"", ""Dishes and silverware"", ""Fire extinguisher"", ""First aid kit"", ""Stove"", ""Hot water"", ""Dryer"", ""Host greets you"", ""Hangers"", ""Private entrance"", ""Wifi"", ""Coffee maker"", ""Iron"", ""Cooking basics"", ""Kitchen"", ""Oven"", ""Paid standalone high chair - available upon request"", ""Hot water kettle"", ""Backyard"", ""Housekeeping - available at extra cost"", ""Wine glasses"", ""Long term stays allowed"", ""Smoke alarm"", ""TV"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Shower gel"", ""Bed linens""]",$39.00,2,5,29,59,89,364,37,14,0,12/09/22,21/10/24,4.89,4.89,4.86,4.89,4.78,4.7,4.7,119094/AL,f,5,5,0,0,1.34
8800,6.8454e+17,20200000000000.0,15/12/24,previous scrape,424112747,2021-09-22,within an hour,100%,99%,t,2,t,t,Bonfim,41.1499142,-8.601507023,Entire condo,Entire home/apt,4,,1 bath,1.0,,"[""Baby bath"", ""Free dryer \u2013 In unit"", ""Room-darkening shades"", ""Toaster"", ""Washer"", ""Cleaning products"", ""Dedicated workspace"", ""Microwave"", ""Dishwasher"", ""Central heating"", ""Hair dryer"", ""Indesit refrigerator"", ""Fire extinguisher"", ""First aid kit"", ""Dishes and silverware"", ""Hot water"", ""Hangers"", ""Wifi"", ""Iron"", ""Cooking basics"", ""Kitchen"", ""Hot water kettle"", ""Drying rack for clothing"", ""Standalone high chair - available upon request"", ""Bathtub"", ""Essentials"", ""Generic body soap"", ""TV"", ""Pack \u2019n play/Travel crib - available upon request"", ""Indesit electric stove"", ""Air conditioning"", ""Freezer"", ""Idesit stainless steel oven"", ""Paid parking on premises"", ""Pets allowed"", ""Extra pillows and blankets"", ""Bidet"", ""Crib - available upon request"", ""Shower gel"", ""Generic shampoo"", ""Babysitter recommendations"", ""Bed linens""]",,3,30,0,0,0,0,42,17,0,08/08/22,15/08/24,4.98,4.98,4.9,5.0,4.98,4.86,4.95,106301/AL,t,2,2,0,0,1.46
9000,7.073e+17,20200000000000.0,15/12/24,city scrape,63565731,2016-03-19,within an hour,92%,100%,f,37,t,t,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15265,-8.60753,Entire rental unit,Entire home/apt,14,3.0,3 baths,6.0,8.0,"[""Refrigerator"", ""Room-darkening shades"", ""Toaster"", ""Radiant heating"", ""Shampoo"", ""Dedicated workspace"", ""High chair - available upon request"", ""Microwave"", ""Dishwasher"", ""Body soap"", ""Clothing storage"", ""Elevator"", ""Hair dryer"", ""Dishes and silverware"", ""Fire extinguisher"", ""First aid kit"", ""Stove"", ""Hot water"", ""Portable heater"", ""Hangers"", ""Keypad"", ""Wifi"", ""Coffee maker"", ""Iron"", ""Cooking basics"", ""Kitchen"", ""Oven"", ""Hot water kettle"", ""Self check-in"", ""Wine glasses"", ""Long term stays allowed"", ""Bathtub"", ""Smoke alarm"", ""Essentials"", ""TV"", ""Carbon monoxide alarm"", ""Paid street parking off premises"", ""Portable fans"", ""Dining table"", ""Bidet"", ""Crib - available upon request"", ""Shower gel"", ""Coffee"", ""Bed linens""]",$134.00,1,365,13,29,52,322,118,52,2,16/09/22,22/11/24,4.77,4.81,4.79,4.83,4.75,4.86,4.75,132211/AL,t,37,37,0,0,4.31
