Unnamed: 0,id,scrape_id,last_scraped,source,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
8375,6.49046e+17,20200000000000.0,15/12/24,city scrape,462258621,2022-02-06,within an hour,100%,98%,t,6,t,t,Lordelo do Ouro e Massarelos,41.15069103,-8.626637923,Room in boutique hotel,Private room,2,1.0,1 private bath,1.0,1.0,"[""Paid parking off premises"", ""Refrigerator"", ""Room-darkening shades"", ""Toaster"", ""TV with standard cable"", ""Paid washer \u2013 In unit"", ""Dedicated workspace"", ""Cleaning products"", ""Own brand  shampoo"", ""Microwave"", ""Dishwasher"", ""Body soap"", ""Clothing storage"", ""Hair dryer"", ""Dishes and silverware"", ""Fire extinguisher"", ""First aid kit"", ""Stove"", ""Hot water"", ""Dryer"", ""Hangers"", ""Luggage dropoff allowed"", ""Private entrance"", ""Wifi"", ""Iron"", ""Cooking basics"", ""Kitchen"", ""Hot water kettle"", ""Laundromat nearby"", ""Exterior security cameras on property"", ""Drying rack for clothing"", ""Wine glasses"", ""Long term stays allowed"", ""Self check-in"", ""Smart lock"", ""Heating"", ""Smoke alarm"", ""Coffee maker: espresso machine"", ""Essentials"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Freezer"", ""Dining table"", ""Extra pillows and blankets"", ""Shower gel"", ""Bed linens"", ""Safe""]",$54.00,2,30,25,55,85,360,49,15,0,26/06/22,02/11/24,4.82,4.96,4.98,4.88,4.92,4.73,4.71,122663/AL,t,6,1,5,0,1.63
8377,6.49058e+17,20200000000000.0,15/12/24,city scrape,462258621,2022-02-06,within an hour,100%,98%,t,6,t,t,Lordelo do Ouro e Massarelos,41.15059116,-8.626612578,Room in boutique hotel,Private room,2,1.0,1 private bath,1.0,1.0,"[""Paid parking off premises"", ""Refrigerator"", ""Free dryer \u2013 In unit"", ""Room-darkening shades"", ""Toaster"", ""TV with standard cable"", ""Paid washer \u2013 In unit"", ""Dedicated workspace"", ""Cleaning products"", ""Own brand  shampoo"", ""Microwave"", ""Dishwasher"", ""Body soap"", ""Clothing storage"", ""Hair dryer"", ""Books and reading material"", ""Fire extinguisher"", ""First aid kit"", ""Dishes and silverware"", ""Hot water"", ""Stove"", ""Hangers"", ""Luggage dropoff allowed"", ""Private entrance"", ""Wifi"", ""Iron"", ""Cooking basics"", ""Kitchen"", ""Hot water kettle"", ""Exterior security cameras on property"", ""Drying rack for clothing"", ""Wine glasses"", ""Long term stays allowed"", ""Self check-in"", ""Smart lock"", ""Heating"", ""Smoke alarm"", ""Coffee maker: espresso machine"", ""Essentials"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Freezer"", ""Dining table"", ""Extra pillows and blankets"", ""Shower gel"", ""Bed linens"", ""Safe""]",$54.00,2,30,27,57,87,362,53,18,0,25/06/22,15/10/24,4.77,4.66,5.0,4.85,4.91,4.43,4.64,122663/AL,t,6,1,5,0,1.76
8378,6.49062e+17,20200000000000.0,15/12/24,city scrape,462258621,2022-02-06,within an hour,100%,98%,t,6,t,t,Lordelo do Ouro e Massarelos,41.15070426,-8.626462374,Room in boutique hotel,Private room,2,1.0,1 private bath,1.0,1.0,"[""Refrigerator"", ""Room-darkening shades"", ""Toaster"", ""Paid washer \u2013 In unit"", ""Dedicated workspace"", ""Cleaning products"", ""Own brand  shampoo"", ""Microwave"", ""Dishwasher"", ""Body soap"", ""Clothing storage"", ""Hair dryer"", ""Books and reading material"", ""Fire extinguisher"", ""First aid kit"", ""Dishes and silverware"", ""Hot water"", ""Stove"", ""Hangers"", ""Luggage dropoff allowed"", ""Keypad"", ""Wifi"", ""Coffee maker"", ""Iron"", ""Cooking basics"", ""Kitchen"", ""Hot water kettle"", ""Laundromat nearby"", ""Exterior security cameras on property"", ""Drying rack for clothing"", ""Wine glasses"", ""Long term stays allowed"", ""Self check-in"", ""Heating"", ""Smoke alarm"", ""Essentials"", ""Mini fridge"", ""Paid parking garage off premises"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Freezer"", ""Dining table"", ""Extra pillows and blankets"", ""HDTV"", ""Free dryer"", ""Shower gel"", ""Bed linens"", ""Safe""]",$54.00,2,30,25,55,85,360,57,13,0,22/06/22,13/10/24,4.88,4.89,4.98,4.82,4.95,4.79,4.93,122663/AL,t,6,1,5,0,1.88
8380,6.49178e+17,20200000000000.0,15/12/24,city scrape,464235200,2022-06-14,within an hour,100%,100%,f,1,t,f,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16105,-8.6228,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Refrigerator"", ""Toaster"", ""Shampoo"", ""Washer"", ""Dedicated workspace"", ""Microwave"", ""Dishwasher"", ""Hair dryer"", ""Fire extinguisher"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Wifi"", ""Coffee maker"", ""Hot water kettle"", ""Oven"", ""Kitchen"", ""Self check-in"", ""Heating"", ""Essentials"", ""Lockbox"", ""TV"", ""Bed linens""]",$64.00,1,1125,28,58,88,362,107,38,3,26/06/22,08/12/24,4.16,4.39,4.25,4.44,4.47,4.42,4.21,12345/AL,t,1,1,0,0,3.55
8381,6.49281e+17,20200000000000.0,15/12/24,city scrape,462811017,2022-06-06,a few days or more,43%,14%,f,5,t,t,"Gondomar (São Cosme), Valbom e Jovim",41.14857,-8.54904,Private room in nature lodge,Private room,2,1.0,1 bath,1.0,1.0,"[""Room-darkening shades"", ""Patio or balcony"", ""Shampoo"", ""Ethernet connection"", ""Washer"", ""Dedicated workspace"", ""Ping pong table"", ""Body soap"", ""Clothing storage"", ""Hair dryer"", ""Fire extinguisher"", ""First aid kit"", ""Hot water"", ""Host greets you"", ""Hangers"", ""Private entrance"", ""Wifi"", ""Outdoor shower"", ""Exterior security cameras on property"", ""Smoke alarm"", ""Smoking allowed"", ""Essentials"", ""Free parking on premises"", ""TV"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Extra pillows and blankets"", ""Shower gel"", ""Pool"", ""Outdoor dining area"", ""Bed linens""]",$115.00,1,5,23,53,83,358,5,2,0,05/08/22,28/08/24,5.0,5.0,5.0,5.0,5.0,4.6,4.8,127710/AL,f,5,0,5,0,0.17
8382,6.49281e+17,20200000000000.0,15/12/24,city scrape,462811017,2022-06-06,a few days or more,43%,14%,f,5,t,t,"Gondomar (São Cosme), Valbom e Jovim",41.14709,-8.54966,Private room in nature lodge,Private room,2,1.0,1 bath,1.0,1.0,"[""Room-darkening shades"", ""Patio or balcony"", ""Shampoo"", ""Ethernet connection"", ""Washer"", ""Dedicated workspace"", ""Ping pong table"", ""Body soap"", ""Clothing storage"", ""Hair dryer"", ""Fire extinguisher"", ""First aid kit"", ""Hot water"", ""Host greets you"", ""Hangers"", ""Private entrance"", ""Wifi"", ""Outdoor shower"", ""Exterior security cameras on property"", ""Smoke alarm"", ""Smoking allowed"", ""Essentials"", ""Free parking on premises"", ""TV"", ""Shared pool"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Extra pillows and blankets"", ""Shower gel"", ""Outdoor dining area"", ""Bed linens""]",$95.00,1,5,13,40,65,314,8,1,0,18/07/22,27/08/24,5.0,5.0,5.0,5.0,5.0,4.75,5.0,127710/AL,f,5,0,5,0,0.27
8383,6.49281e+17,20200000000000.0,15/12/24,city scrape,462811017,2022-06-06,a few days or more,43%,14%,f,5,t,t,"Gondomar (São Cosme), Valbom e Jovim",41.14707,-8.54988,Private room in nature lodge,Private room,2,1.0,1 bath,1.0,1.0,"[""Room-darkening shades"", ""Patio or balcony"", ""Shampoo"", ""Ethernet connection"", ""Washer"", ""Dedicated workspace"", ""Ping pong table"", ""Body soap"", ""Clothing storage"", ""Hair dryer"", ""Fire extinguisher"", ""First aid kit"", ""Hot water"", ""Host greets you"", ""Hangers"", ""Luggage dropoff allowed"", ""Private entrance"", ""Wifi"", ""Iron"", ""Outdoor shower"", ""Exterior security cameras on property"", ""Long term stays allowed"", ""Smoke alarm"", ""Smoking allowed"", ""Essentials"", ""Free parking on premises"", ""TV"", ""Shared pool"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Extra pillows and blankets"", ""Shower gel"", ""Outdoor dining area"", ""Bed linens""]",$95.00,1,5,23,53,83,358,1,0,0,22/08/22,22/08/22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,127710/AL,f,5,0,5,0,0.04
8384,6.49348e+17,20200000000000.0,15/12/24,previous scrape,375380248,2020-12-11,within a few hours,67%,85%,f,4,t,t,"Aldoar, Foz do Douro e Nevogilde",41.15947,-8.67632,Private room in home,Private room,1,,2 shared baths,,,"[""Refrigerator"", ""Room-darkening shades"", ""Shampoo"", ""Ethernet connection"", ""Dedicated workspace"", ""Cleaning products"", ""Barbecue utensils"", ""Free street parking"", ""Shared patio or balcony"", ""Microwave"", ""Body soap"", ""Clothing storage"", ""Hair dryer"", ""Books and reading material"", ""Fire extinguisher"", ""First aid kit"", ""Dishes and silverware"", ""Hot water"", ""Stove"", ""BBQ grill"", ""Dryer"", ""Hangers"", ""Luggage dropoff allowed"", ""Board games"", ""Private entrance"", ""Single level home"", ""Iron"", ""Cooking basics"", ""Kitchen"", ""Oven"", ""Fast wifi \u2013 200 Mbps"", ""Hot water kettle"", ""Blender"", ""Laundromat nearby"", ""Drying rack for clothing"", ""Backyard"", ""Beach essentials"", ""Long term stays allowed"", ""Self check-in"", ""Heating"", ""Smoke alarm"", ""Beach access \u2013 Beachfront"", ""Essentials"", ""Smoking allowed"", ""Free parking on premises"", ""Lock on bedroom door"", ""Lockbox"", ""Bikes"", ""Carbon monoxide alarm"", ""Freezer"", ""Portable fans"", ""Dining table"", ""Hammock"", ""Extra pillows and blankets"", ""Pets allowed"", ""Shower gel"", ""Exercise equipment"", ""Cleaning available during stay"", ""Coffee"", ""Free washer \u2013 In unit"", ""Conditioner"", ""Outdoor dining area"", ""Bed linens""]",,1,365,0,0,0,0,10,1,0,10/07/22,07/08/24,4.9,5.0,4.5,5.0,5.0,4.7,4.9,117843/AL,f,4,0,4,0,0.34
8388,6.49691e+17,20200000000000.0,15/12/24,city scrape,464238250,2022-06-14,within an hour,100%,100%,f,1,t,t,Bonfim,41.14885,-8.59172,Entire home,Entire home/apt,3,2.0,2 baths,2.0,2.0,"[""Refrigerator"", ""Toaster"", ""Shampoo"", ""Washer"", ""Dedicated workspace"", ""Microwave"", ""Dishwasher"", ""Hair dryer"", ""Fire extinguisher"", ""First aid kit"", ""Hot water"", ""Dryer"", ""Hangers"", ""Wifi"", ""Coffee maker"", ""Iron"", ""Kitchen"", ""Oven"", ""Backyard"", ""Self check-in"", ""Essentials"", ""Lockbox"", ""TV"", ""Air conditioning"", ""Freezer"", ""Bed linens""]",$73.00,1,1125,1,27,51,313,118,52,3,23/06/22,11/12/24,4.56,4.63,4.57,4.67,4.65,4.34,4.53,12345/AL,t,1,1,0,0,3.9
8389,6.49818e+17,20200000000000.0,15/12/24,city scrape,464382071,2022-06-15,within an hour,100%,99%,t,2,t,t,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1459929,-8.6133393,Entire loft,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Coffee maker: Nespresso"", ""Room-darkening shades"", ""Toaster"", ""Shampoo"", ""Dedicated workspace"", ""Cleaning products"", ""Microwave"", ""Dishwasher"", ""Body soap"", ""Fast wifi \u2013 236 Mbps"", ""Central heating"", ""Hair dryer"", ""Dishes and silverware"", ""Fire extinguisher"", ""First aid kit"", ""Miele oven"", ""Hot water"", ""Miele refrigerator"", ""Elevator"", ""Miele induction stove"", ""Hangers"", ""Host greets you"", ""Private entrance"", ""Clothing storage: closet"", ""Iron"", ""Cooking basics"", ""Kitchen"", ""Hot water kettle"", ""Laundromat nearby"", ""Wine glasses"", ""Long term stays allowed"", ""City skyline view"", ""Essentials"", ""Baking sheet"", ""Central air conditioning"", ""120 inch HDTV with standard cable"", ""Freezer"", ""Dining table"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Bidet"", ""Shower gel"", ""Outdoor furniture"", ""JBL Bluetooth stereo speaker Bluetooth sound system"", ""Conditioner"", ""Bed linens""]",$151.00,3,31,20,36,52,244,98,42,1,26/07/22,25/11/24,4.99,5.0,5.0,4.94,4.97,4.97,4.91,121036/AL,t,2,2,0,0,3.36
